Speaker,Text
SOCRATES,"Tell me then, O thou heir of the argument, what did Simonides say, and according to you truly say, about justice?"
POLEMARCHUS,"He said that the repayment of a debt is just, and in saying so he appears to me to be right."
SOCRATES,"I should be sorry to doubt the word of such a wise and inspired man, but his meaning, though probably clear to you, is the reverse of clear to me.  For he certainly does not mean, as we were now saying that I ought to return a return a deposit of arms or of anything else to one who asks for it when he is not in his right senses; and yet a deposit cannot be denied to be a debt."
POLEMARCHUS,True.
SOCRATES,Then when the person who asks me is not in his right mind I am by no means to make the return?
POLEMARCHUS,Certainly not.
SOCRATES,"When Simonides said that the repayment of a debt was justice, he did not mean to include that case?"
POLEMARCHUS,Certainly not; for he thinks that a friend ought always to do good to a friend and never evil.
SOCRATES,"You mean that the return of a deposit of gold which is to the injury of the receiver, if the two parties are friends, is not the repayment of a debt,--that is what you would imagine him to say?"
POLEMARCHUS,Yes.
SOCRATES,And are enemies also to receive what we owe to them?
POLEMARCHUS,"To be sure, he said, they are to receive what we owe them, and an enemy, as I take it, owes to an enemy that which is due or proper to him--that is to say, evil."
SOCRATES,"Simonides, then, after the manner of poets, would seem to have spoken darkly of the nature of justice; for he really meant to say that justice is the giving to each man what is proper to him, and this he termed a debt."
POLEMARCHUS,"That must have been his meaning, he said."
SOCRATES,"By heaven!  I replied; and if we asked him what due or proper thing is given by medicine, and to whom, what answer do you think that he would make to us?"
POLEMARCHUS,He would surely reply that medicine gives drugs and meat and drink to human bodies.
SOCRATES,"And what due or proper thing is given by cookery, and to what?"
POLEMARCHUS,Seasoning to food.
SOCRATES,"And what is that which justice gives, and to whom?"
POLEMARCHUS,"If, Socrates, we are to be guided at all by the analogy of the preceding instances, then justice is the art which gives good to friends and evil to enemies."
SOCRATES,That is his meaning then?
POLEMARCHUS,I think so.
SOCRATES,And who is best able to do good to his friends and evil to his enemies in time of sickness?
POLEMARCHUS,The physician.
SOCRATES,"Or when they are on a voyage, amid the perils of the sea?"
POLEMARCHUS,The pilot.
SOCRATES,And in what sort of actions or with a view to what result is the just man most able to do harm to his enemy and good to his friends?
POLEMARCHUS,In going to war against the one and in making alliances with the other.
